userId,movieId,rating,timestamp
240,24,4.0,1420056240
488,94,3.5,1420057620
139,171,2.5,1420060560
165,65,3.5,1420070520
66,178,5.0,1420073340
190,100,3.5,1420094520
402,275,2.5,1420097760
207,243,4.5,1420098720
395,56,3.5,1420099440
293,207,1.5,1420104420
113,175,3.5,1420106640
498,146,3.0,1420106940
447,98,5.0,1420108260
87,70,4.0,1420111020
322,101,3.5,1420111080
459,94,2.5,1420112220
138,176,3.0,1420126800
492,263,3.5,1420127400
34,294,3.0,1420130160
364,197,4.0,1420131420
128,34,4.0,1420132920
154,189,3.0,1420145880
84,249,3.0,1420152240
484,65,3.5,1420158060
318,178,3.0,1420164540
35,172,3.0,1420165500
460,26,4.5,1420175280
466,5,2.0,1420176180
140,153,2.5,1420176480
327,296,2.5,1420183260
265,15,2.5,1420186440
390,117,3.0,1420189140
171,256,2.5,1420189500
467,182,4.5,1420194600
141,279,2.5,1420197840
42,150,3.5,1420199760
323,169,2.5,1420204920
274,218,3.0,1420208520
152,256,4.5,1420208820
290,26,3.0,1420213680
274,250,3.5,1420222200
117,57,2.5,1420224600
382,134,3.0,1420225740
230,256,3.0,1420227120
146,82,2.5,1420233360
234,197,4.5,1420236660
419,220,3.5,1420237080
97,279,2.5,1420245180
128,42,3.5,1420248840
133,243,4.0,1420258980
395,10,3.0,1420261560
186,13,4.0,1420267440
481,134,3.5,1420273920
252,71,4.5,1420274820
7,189,2.0,1420284600
470,173,2.5,1420287480
381,269,4.5,1420290480
477,279,2.5,1420292820
192,289,3.0,1420294500
320,90,3.5,1420298700
487,152,2.5,1420300980
398,24,2.5,1420303620
454,250,4.0,1420304160
438,42,1.0,1420308360
279,3,2.0,1420310460
15,82,3.0,1420311780
203,180,3.0,1420320540
85,2,2.0,1420323540
219,171,1.5,1420324320
79,24,3.0,1420326420
440,222,2.5,1420327020
27,40,3.5,1420337640
214,233,2.0,1420342200
431,182,3.5,1420344840
216,289,1.5,1420345860
117,250,4.0,1420346640
116,220,2.5,1420353960
144,155,2.0,1420355160
422,1,4.0,1420356420
220,43,4.5,1420356600
158,30,3.0,1420358100
42,21,3.0,1420360320
270,245,5.0,1420361100
292,70,3.5,1420369620
335,87,4.5,1420371660
267,31,4.0,1420374240
138,270,3.0,1420378140
157,30,5.0,1420379940
484,184,3.0,1420384320
17,121,4.0,1420385940
169,80,2.5,1420386060
85,172,4.0,1420390560
328,71,5.0,1420391700
174,250,3.5,1420393140
253,73,2.5,1420395060
179,203,5.0,1420398900
231,150,1.5,1420399560
316,235,3.0,1420400580
365,253,2.5,1420403280
114,154,2.5,1420408380
40,294,3.5,1420410660
182,92,4.5,1420417740
239,197,4.0,1420422960
18,231,3.5,1420426440
43,93,4.0,1420428360
325,262,3.0,1420431000
247,206,5.0,1420432680
88,186,3.0,1420438440
428,150,0.5,1420449420
317,250,4.0,1420455000
52,48,3.5,1420460820
361,194,2.0,1420465620
91,208,2.5,1420470900
494,103,3.0,1420478040
276,71,4.0,1420480380
172,83,3.0,1420482720
25,253,2.5,1420488420
422,300,4.0,1420492980
276,43,2.5,1420494480
491,151,2.0,1420495920
466,63,4.0,1420497600
357,79,3.0,1420506240
223,251,4.0,1420517220
450,235,3.5,1420520100
169,147,3.0,1420521180
95,218,3.0,1420522320
320,293,3.5,1420537080
499,233,3.0,1420537380
490,176,3.0,1420543500
459,255,3.5,1420544760
353,197,4.5,1420548180
24,149,0.5,1420549560
192,290,3.0,1420551120
498,245,4.5,1420561080
240,79,4.0,1420561140
13,96,4.5,1420561320
161,216,5.0,1420564380
134,65,4.0,1420564680
413,51,5.0,1420564860
193,288,3.5,1420565760
191,158,2.5,1420569720
420,233,3.0,1420576740
285,185,4.0,1420579380
298,198,4.0,1420584360
272,198,1.0,1420587900
150,68,3.0,1420588020
389,229,4.0,1420588080
403,147,4.0,1420595100
239,59,3.5,1420600440
271,210,2.5,1420604460
155,26,3.5,1420607760
163,208,2.5,1420608720
283,188,2.5,1420615980
176,245,3.0,1420621200
412,152,4.5,1420623780
241,165,1.5,1420624800
121,172,5.0,1420626420
153,154,3.5,1420641720
194,101,3.5,1420642620
